Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
wide_vadd_1,28.166,42.412,20.040,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,27.942,42.412,20.040,0.000
wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142/v1_rd_proc5_U0,19.307,0.000,15.897,0.000
wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142/v2_rd_add_proc_U0,27.836,42.412,4.143,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
wide_vadd_1,m_axi_gmem,0.000,0.000,14.293,50.746
wide_vadd_1,m_axi_gmem1,0.000,0.000,17.707,62.867
wide_vadd_1,m_axi_gmem2,11.089,39.370,0.000,0.000

