Kernel trace events
Device, Binary, Kernel, Compute Unit, Function, Data Type, Index, Start Time (ms), End Time (ms), Value
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,top,top,0,0.042680,0.070846,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.000000,0.042694,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.042694,0.043570,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.043570,0.043577,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.043577,0.044447,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.044447,0.044454,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.044454,0.045327,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.045327,0.045334,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.045334,0.046208,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.046208,0.046214,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.046214,0.047088,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.047088,0.047094,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.047094,0.047968,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.047968,0.047975,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.047975,0.048848,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.048848,0.048855,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.048855,0.049728,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.049728,0.049735,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.049735,0.050605,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.050605,0.050612,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.050612,0.051485,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.051485,0.051492,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.051492,0.052365,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.052365,0.052372,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.052372,0.053246,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.053246,0.053252,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.053252,0.054126,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.054126,0.054132,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.054132,0.055006,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.055006,0.055013,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.055013,0.055886,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.055886,0.055893,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.055893,0.056766,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.056766,0.056773,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.056773,0.057647,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.057647,0.057653,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.057653,0.058527,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.058527,0.058533,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.058533,0.059407,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.059407,0.059414,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.059414,0.060287,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.060287,0.060294,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.060294,0.061164,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.061164,0.061171,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.061171,0.062044,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.062044,0.062051,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.062051,0.062924,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.062924,0.062931,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.062931,0.063804,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.063804,0.063811,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.063811,0.064685,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.064685,0.064691,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.064691,0.065565,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.065565,0.065571,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.065571,0.066445,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.066445,0.066452,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.066452,0.067322,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.067322,0.067328,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.067328,0.068202,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.068202,0.068209,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.068209,0.069082,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.069082,0.069089,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.069089,0.069962,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.069962,0.069969,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.069969,0.070842,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,outstanding,0,0.070842,0.070842,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.000000,0.042694,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.042694,0.043570,0
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.043570,0.043577,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.043577,0.044447,1
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.044447,0.044454,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.044454,0.045327,2
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.045327,0.045334,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.045334,0.046208,3
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.046208,0.046214,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.046214,0.047088,4
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.047088,0.047094,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.047094,0.047968,5
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.047968,0.047975,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.047975,0.048848,6
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.048848,0.048855,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.048855,0.049728,7
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.049728,0.049735,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.049735,0.050605,8
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.050605,0.050612,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.050612,0.051485,9
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.051485,0.051492,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.051492,0.052365,10
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.052365,0.052372,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.052372,0.053246,11
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.053246,0.053252,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.053252,0.054126,12
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.054126,0.054132,65535
xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0,binary_container_1,wide_vadd,wide_vadd_1,grp_dataflow_in_loop_VITIS_LOOP_88_1_fu_142,row,0,0.054132,0.055006,13
