Timeline Trace
Generated on: 2021-01-14 20:24:40
Msec since Epoch: 1610655880825
Profiled application: improving_performance_lab
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
11.985311,clGetPlatformIDs|General,START,,,,,,,,,,,0,
12.04041,clGetPlatformIDs|General,END,,,,,,,,,,,0,
12.051494,clGetPlatformIDs|General,START,,,,,,,,,,,1,
12.05752,clGetPlatformIDs|General,END,,,,,,,,,,,1,
12.069536,clGetPlatformInfo|General,START,,,,,,,,,,,2,
12.075672,clGetPlatformInfo|General,END,,,,,,,,,,,2,
12.084279,clGetPlatformInfo|General,START,,,,,,,,,,,3,
12.089412,clGetPlatformInfo|General,END,,,,,,,,,,,3,
12.107801,clGetDeviceIDs|General,START,,,,,,,,,,,4,
12.116355,clGetDeviceIDs|General,END,,,,,,,,,,,4,
12.122838,clGetDeviceIDs|General,START,,,,,,,,,,,5,
12.127982,clGetDeviceIDs|General,END,,,,,,,,,,,5,
12.135976,clRetainDevice|General,START,,,,,,,,,,,6,
12.141559,clRetainDevice|General,END,,,,,,,,,,,6,
12.14705,clRetainDevice|General,START,,,,,,,,,,,7,
12.152007,clRetainDevice|General,END,,,,,,,,,,,7,
12.159074,clCreateContext|General,START,,,,,,,,,,,8,
12.18575,clCreateContext|General,END,,,,,,,,,,,8,
26.414191,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
28219.39655,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
28219.45936,clReleaseDevice|General,START,,,,,,,,,,,10,
28219.47609,clReleaseDevice|General,END,,,,,,,,,,,10,
28219.48649,clCreateCommandQueue|General,START,,,,,,,,,,,11,
28219.50905,clCreateCommandQueue|General,END,,,,,,,,,,,11,
28219.51895,clCreateKernel|General,START,,,,,,,,,,,12,
28220.97855,clCreateKernel|General,END,,,,,,,,,,,12,
28221.0289,clCreateBuffer|General,START,,,,,,,,,,,13,
28228.89453,clCreateBuffer|General,END,,,,,,,,,,,13,
28228.91658,clCreateBuffer|General,START,,,,,,,,,,,14,
28229.96578,clCreateBuffer|General,END,,,,,,,,,,,14,
28229.98104,clCreateBuffer|General,START,,,,,,,,,,,15,
28231.05546,clCreateBuffer|General,END,,,,,,,,,,,15,
28231.06835,clCreateBuffer|General,START,,,,,,,,,,,16,
28236.51235,clCreateBuffer|General,END,,,,,,,,,,,16,
28236.54231,clSetKernelArg|General,START,,,,,,,,,,,17,
28236.55946,clSetKernelArg|General,END,,,,,,,,,,,17,
28236.56568,clSetKernelArg|General,START,,,,,,,,,,,18,
28236.57167,clSetKernelArg|General,END,,,,,,,,,,,18,
28236.57745,clSetKernelArg|General,START,,,,,,,,,,,19,
28236.58541,clSetKernelArg|General,END,,,,,,,,,,,19,
28236.59445,clSetKernelArg|General,START,,,,,,,,,,,20,
28236.60347,clSetKernelArg|General,END,,,,,,,,,,,20,
28236.61944,clEnqueueMapBuffer|23424576,START,,,,,,,,,,,21,
28237.63493,clEnqueueMapBuffer|23424576,END,,,,,,,,,,,21,
