Timeline Trace
Generated on: 2021-01-14 21:07:04
Msec since Epoch: 1610658424790
Profiled application: lab_optimization
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
19.272342,clGetPlatformIDs|General,START,,,,,,,,,,,0,
19.351197,clGetPlatformIDs|General,END,,,,,,,,,,,0,
19.371801,clGetPlatformIDs|General,START,,,,,,,,,,,1,
19.383638,clGetPlatformIDs|General,END,,,,,,,,,,,1,
19.392705,clGetPlatformInfo|General,START,,,,,,,,,,,2,
19.402307,clGetPlatformInfo|General,END,,,,,,,,,,,2,
19.410174,clGetPlatformInfo|General,START,,,,,,,,,,,3,
19.418117,clGetPlatformInfo|General,END,,,,,,,,,,,3,
19.435389,clGetDeviceIDs|General,START,,,,,,,,,,,4,
19.448993,clGetDeviceIDs|General,END,,,,,,,,,,,4,
19.460843,clCreateContext|General,START,,,,,,,,,,,5,
19.503304,clCreateContext|General,END,,,,,,,,,,,5,
19.516265,clGetDeviceInfo|General,START,,,,,,,,,,,6,
19.531654,clGetDeviceInfo|General,END,,,,,,,,,,,6,
34.247062,clCreateProgramWithBinary|General,START,,,,,,,,,,,7,
44273.05666,clCreateProgramWithBinary|General,END,,,,,,,,,,,7,
44273.1326,clCreateKernel|General,START,,,,,,,,,,,8,
44275.2213,clCreateKernel|General,END,,,,,,,,,,,8,
44275.24456,clCreateCommandQueue|General,START,,,,,,,,,,,9,
44275.27729,clCreateCommandQueue|General,END,,,,,,,,,,,9,
44276.45711,clCreateBuffer|General,START,,,,,,,,,,,10,
44276.50133,clCreateBuffer|General,END,,,,,,,,,,,10,
44276.51558,clCreateBuffer|General,START,,,,,,,,,,,11,
44276.52713,clCreateBuffer|General,END,,,,,,,,,,,11,
44276.53654,clCreateBuffer|General,START,,,,,,,,,,,12,
44276.54642,clCreateBuffer|General,END,,,,,,,,,,,12,
44276.56097,clSetKernelArg|General,START,,,,,,,,,,,13,
44283.28642,clSetKernelArg|General,END,,,,,,,,,,,13,
44283.31609,clSetKernelArg|General,START,,,,,,,,,,,14,
44284.41986,clSetKernelArg|General,END,,,,,,,,,,,14,
44284.43335,clSetKernelArg|General,START,,,,,,,,,,,15,
44289.79944,clSetKernelArg|General,END,,,,,,,,,,,15,
44289.82001,clSetKernelArg|General,START,,,,,,,,,,,16,
44289.82996,clSetKernelArg|General,END,,,,,,,,,,,16,
44289.83491,clSetKernelArg|General,START,,,,,,,,,,,17,
44289.84012,clSetKernelArg|General,END,,,,,,,,,,,17,
44289.8506,clEnqueueMigrateMemObjects|23514864,START,,,,,,,,,,,18,
44289.92894,WRITE_BUFFER,QUEUE,0X4000000000|bank0,32896,,,,,,,,,
44289.95091,WRITE_BUFFER,SUBMIT,0X4000000000|bank0,32896,,,,,,,,,
44290.91138,clEnqueueMigrateMemObjects|23514864,END,,,,,,,,,,,18,
44290.93435,clEnqueueTask|23514864,START,,,,,,,,,,,19,
44290.9627,DEPENDENCY_EVENT,,0,1,
44290.96086,WRITE_BUFFER,START,0X4000000000|bank0|0X7fe2667fc700,32896,,,,,,,0,None,
44290.99928,WRITE_BUFFER,QUEUE,0X4000000000|bank0,32896,,,,,,,,,
44291.06224,DEPENDENCY_EVENT,,1,2,
44291.12438,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|binary_container_1|krnl_idct|1:1:1|all,QUEUE,0X16873A0,1,,,,,,,,,
44292.02236,clEnqueueTask|23514864,END,,,,,,,,,,,19,
44292.03084,clEnqueueMigrateMemObjects|23514864,START,,,,,,,,,,,20,
44292.04447,DEPENDENCY_EVENT,,2,3,
44292.0525,READ_BUFFER,QUEUE,0X400000000|bank1,32768,,,,,,,,,
44292.0609,clEnqueueMigrateMemObjects|23514864,END,,,,,,,,,,,20,
44292.06832,clWaitForEvents|General,START,,,,,,,,,,,21,
44293.07603,WRITE_BUFFER,END,0X4000000000|bank0|0X7fe2667fc700,32896,,,,,,,0,1,
44293.11259,WRITE_BUFFER,SUBMIT,0X4000000000|bank0,32896,,,,,,,,,
44293.12855,WRITE_BUFFER,END,0X4000000000|bank0|0X7fe2667fc700,32896,,,,,,,1,2,
44293.14748,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|binary_container_1|krnl_idct|1:1:1|all,SUBMIT,0X16873A0,1,,,,,,,,,
44293.43063,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|binary_container_1|krnl_idct|1:1:1|all,START,0X16873A0,1,,,,,,,2,3,
48295.11687,KERNEL|xilinx_aws-vu9p-f1_shell-v04261818_201920_2-0|binary_container_1|krnl_idct|1:1:1|all,END,0X16873A0,1,,,,,,,2,3,
48295.41202,READ_BUFFER,SUBMIT,0X400000000|bank1,32768,,,,,,,,,
48295.46489,READ_BUFFER,START,0X400000000|bank1|0X7fe2677fe700,32768,,,,,,,3,None,
48296.25352,READ_BUFFER,END,0X400000000|bank1|0X7fe2677fe700,32768,,,,,,,3,None,
48296.29575,clWaitForEvents|General,END,,,,,,,,,,,21,
48296.32223,clReleaseMemObject|General,START,,,,,,,,,,,22,
48296.33153,clReleaseMemObject|General,END,,,,,,,,,,,22,
48296.33651,clReleaseMemObject|General,START,,,,,,,,,,,23,
48296.34215,clReleaseMemObject|General,END,,,,,,,,,,,23,
48296.34714,clReleaseMemObject|General,START,,,,,,,,,,,24,
48296.35219,clReleaseMemObject|General,END,,,,,,,,,,,24,
48296.37618,clReleaseEvent|General,START,,,,,,,,,,,25,
48296.38394,clReleaseEvent|General,END,,,,,,,,,,,25,
48296.38886,clReleaseEvent|General,START,,,,,,,,,,,26,
48296.4038,clReleaseEvent|General,END,,,,,,,,,,,26,
48296.40946,clReleaseEvent|General,START,,,,,,,,,,,27,
48296.41763,clReleaseEvent|General,END,,,,,,,,,,,27,
48296.42348,clCreateBuffer|General,START,,,,,,,,,,,28,
48296.43284,clCreateBuffer|General,END,,,,,,,,,,,28,
48296.43836,clCreateBuffer|General,START,,,,,,,,,,,29,
48296.4441,clCreateBuffer|General,END,,,,,,,,,,,29,
48296.44917,clCreateBuffer|General,START,,,,,,,,,,,30,
48296.45424,clCreateBuffer|General,END,,,,,,,,,,,30,
48296.45931,clSetKernelArg|General,START,,,,,,,,,,,31,
48297.39756,clSetKernelArg|General,END,,,,,,,,,,,31,
48297.40947,clSetKernelArg|General,START,,,,,,,,,,,32,
48298.01527,clSetKernelArg|General,END,,,,,,,,,,,32,
48298.02497,clSetKernelArg|General,START,,,,,,,,,,,33,
48298.57659,clSetKernelArg|General,END,,,,,,,,,,,33,
48298.58626,clSetKernelArg|General,START,,,,,,,,,,,34,
48298.59229,clSetKernelArg|General,END,,,,,,,,,,,34,
48298.59691,clSetKernelArg|General,START,,,,,,,,,,,35,
48298.60175,clSetKernelArg|General,END,,,,,,,,,,,35,
48298.60673,clEnqueueMigrateMemObjects|23514864,START,,,,,,,,,,,36,
48298.62334,WRITE_BUFFER,QUEUE,0X4000009000|bank0,32896,,,,,,,,,
