Timeline Trace
Generated on: 2021-01-14 19:44:18
Msec since Epoch: 1610653458803
Profiled application: vector_add_lab_xilinx
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
10.629813,clGetPlatformIDs|General,START,,,,,,,,,,,0,
10.686484,clGetPlatformIDs|General,END,,,,,,,,,,,0,
10.696249,clGetPlatformIDs|General,START,,,,,,,,,,,1,
10.702049,clGetPlatformIDs|General,END,,,,,,,,,,,1,
10.711626,clGetPlatformInfo|General,START,,,,,,,,,,,2,
10.717307,clGetPlatformInfo|General,END,,,,,,,,,,,2,
10.727692,clGetPlatformInfo|General,START,,,,,,,,,,,3,
10.73301,clGetPlatformInfo|General,END,,,,,,,,,,,3,
10.797238,clGetDeviceIDs|General,START,,,,,,,,,,,4,
10.814781,clGetDeviceIDs|General,END,,,,,,,,,,,4,
10.825255,clGetDeviceIDs|General,START,,,,,,,,,,,5,
10.833771,clGetDeviceIDs|General,END,,,,,,,,,,,5,
10.85063,clRetainDevice|General,START,,,,,,,,,,,6,
10.866032,clRetainDevice|General,END,,,,,,,,,,,6,
11.23417,clRetainDevice|General,START,,,,,,,,,,,7,
11.251702,clRetainDevice|General,END,,,,,,,,,,,7,
11.26987,clCreateContext|General,START,,,,,,,,,,,8,
11.305011,clCreateContext|General,END,,,,,,,,,,,8,
11.320475,clCreateCommandQueue|General,START,,,,,,,,,,,9,
11.350204,clCreateCommandQueue|General,END,,,,,,,,,,,9,
11.417292,clGetDeviceInfo|General,START,,,,,,,,,,,10,
11.434525,clGetDeviceInfo|General,END,,,,,,,,,,,10,
11.44781,clGetDeviceInfo|General,START,,,,,,,,,,,11,
11.465889,clGetDeviceInfo|General,END,,,,,,,,,,,11,
11.50273,clRetainDevice|General,START,,,,,,,,,,,12,
11.516643,clRetainDevice|General,END,,,,,,,,,,,12,
11.528389,clRetainDevice|General,START,,,,,,,,,,,13,
11.538634,clRetainDevice|General,END,,,,,,,,,,,13,
11.556847,clCreateProgramWithBinary|General,START,,,,,,,,,,,14,
27.775459,clCreateProgramWithBinary|General,END,,,,,,,,,,,14,
27.822941,clReleaseDevice|General,START,,,,,,,,,,,15,
27.833285,clReleaseDevice|General,END,,,,,,,,,,,15,
27.839259,clReleaseDevice|General,START,,,,,,,,,,,16,
27.844877,clReleaseDevice|General,END,,,,,,,,,,,16,
27.867236,clCreateKernel|General,START,,,,,,,,,,,17,
29.564031,clCreateKernel|General,END,,,,,,,,,,,17,
29.582292,clReleaseProgram|General,START,,,,,,,,,,,18,
29.590584,clReleaseProgram|General,END,,,,,,,,,,,18,
32.717421,clCreateBuffer|General,START,,,,,,,,,,,19,
32.748622,clCreateBuffer|General,END,,,,,,,,,,,19,
32.755465,clCreateBuffer|General,START,,,,,,,,,,,20,
32.761637,clCreateBuffer|General,END,,,,,,,,,,,20,
32.766641,clCreateBuffer|General,START,,,,,,,,,,,21,
32.772426,clCreateBuffer|General,END,,,,,,,,,,,21,
32.780298,clSetKernelArg|General,START,,,,,,,,,,,22,
32.941903,clSetKernelArg|General,END,,,,,,,,,,,22,
32.952995,clSetKernelArg|General,START,,,,,,,,,,,23,
33.029732,clSetKernelArg|General,END,,,,,,,,,,,23,
33.038107,clSetKernelArg|General,START,,,,,,,,,,,24,
33.105561,clSetKernelArg|General,END,,,,,,,,,,,24,
33.113941,clSetKernelArg|General,START,,,,,,,,,,,25,
33.11959,clSetKernelArg|General,END,,,,,,,,,,,25,
33.125936,clRetainMemObject|General,START,,,,,,,,,,,26,
33.132286,clRetainMemObject|General,END,,,,,,,,,,,26,
33.137402,clRetainMemObject|General,START,,,,,,,,,,,27,
33.142751,clRetainMemObject|General,END,,,,,,,,,,,27,
33.148475,clRetainMemObject|General,START,,,,,,,,,,,28,
33.153585,clRetainMemObject|General,END,,,,,,,,,,,28,
33.158484,clRetainMemObject|General,START,,,,,,,,,,,29,
