Timeline Trace
Generated on: 2021-01-15 11:21:40
Msec since Epoch: 1610709700004
Profiled application: arrayb_block_partitioning
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
13.588232,clGetPlatformIDs|General,START,,,,,,,,,,,0,
13.6461,clGetPlatformIDs|General,END,,,,,,,,,,,0,
13.654369,clGetPlatformIDs|General,START,,,,,,,,,,,1,
13.660281,clGetPlatformIDs|General,END,,,,,,,,,,,1,
13.66929,clGetPlatformInfo|General,START,,,,,,,,,,,2,
13.675088,clGetPlatformInfo|General,END,,,,,,,,,,,2,
13.683575,clGetPlatformInfo|General,START,,,,,,,,,,,3,
13.688676,clGetPlatformInfo|General,END,,,,,,,,,,,3,
13.734446,clGetDeviceIDs|General,START,,,,,,,,,,,4,
13.744212,clGetDeviceIDs|General,END,,,,,,,,,,,4,
13.750063,clGetDeviceIDs|General,START,,,,,,,,,,,5,
13.755104,clGetDeviceIDs|General,END,,,,,,,,,,,5,
13.763194,clRetainDevice|General,START,,,,,,,,,,,6,
13.768888,clRetainDevice|General,END,,,,,,,,,,,6,
14.006892,clRetainDevice|General,START,,,,,,,,,,,7,
14.017824,clRetainDevice|General,END,,,,,,,,,,,7,
14.025635,clCreateContext|General,START,,,,,,,,,,,8,
14.044658,clCreateContext|General,END,,,,,,,,,,,8,
14.051176,clCreateCommandQueue|General,START,,,,,,,,,,,9,
14.067404,clCreateCommandQueue|General,END,,,,,,,,,,,9,
14.074496,clGetDeviceInfo|General,START,,,,,,,,,,,10,
14.081436,clGetDeviceInfo|General,END,,,,,,,,,,,10,
14.087072,clGetDeviceInfo|General,START,,,,,,,,,,,11,
14.09508,clGetDeviceInfo|General,END,,,,,,,,,,,11,
14.113253,clRetainDevice|General,START,,,,,,,,,,,12,
14.119242,clRetainDevice|General,END,,,,,,,,,,,12,
14.124678,clRetainDevice|General,START,,,,,,,,,,,13,
14.129291,clRetainDevice|General,END,,,,,,,,,,,13,
14.138657,clCreateProgramWithBinary|General,START,,,,,,,,,,,14,
27.730911,clCreateProgramWithBinary|General,END,,,,,,,,,,,14,
27.755674,clReleaseDevice|General,START,,,,,,,,,,,15,
